timestamp_ms,latency_ms,ok
1772464772247,53.236,1
1772464772301,52.138,1
1772464772355,52.291,1
1772464772408,52.510,1
1772464772461,52.844,1
1772464772515,52.343,1
1772464772567,52.392,1
1772464772620,59.353,1
1772464772684,55.596,1
1772464772741,53.352,1
1772464772794,53.100,1
1772464772849,52.732,1
1772464772902,52.822,1
1772464772955,53.085,1
1772464773009,54.528,1
1772464773064,53.136,1
1772464773118,52.248,1
1772464773171,53.946,1
1772464773225,92.009,1
1772464773318,54.825,1
1772464773373,53.290,1
1772464773426,53.547,1
1772464773480,52.665,1
1772464773534,54.643,1
1772464773588,52.081,1
1772464773641,52.783,1
1772464773694,53.097,1
1772464773748,52.307,1
1772464773802,53.952,1
1772464773857,53.756,1
1772464773911,52.218,1
1772464773964,52.920,1
1772464774018,51.994,1
1772464774070,54.366,1
1772464774126,54.380,1
1772464774181,52.977,1
1772464774234,51.785,1
1772464774287,54.179,1
1772464774341,51.759,1
1772464774394,53.115,1
1772464774447,53.164,1
1772464774501,52.628,1
1772464774554,54.115,1
1772464774608,54.687,1
1772464774663,85.207,1
1772464774749,56.306,1
1772464774806,52.979,1
1772464774860,54.078,1
1772464774914,52.683,1
1772464774967,52.778,1
1772464775021,53.749,1
1772464775075,52.491,1
1772464775128,52.958,1
1772464775182,53.594,1
1772464775235,52.354,1
1772464775288,51.766,1
1772464775341,52.947,1
1772464775395,52.431,1
1772464775448,54.112,1
1772464775502,52.208,1
1772464775555,56.803,1
1772464775612,57.576,1
1772464775671,55.014,1
1772464775727,79.599,1
1772464775807,59.088,1
1772464775867,53.912,1
1772464775921,53.041,1
1772464775975,52.155,1
1772464776028,53.060,1
1772464776081,52.678,1
1772464776135,51.997,1
1772464776187,52.286,1
1772464776240,52.541,1
1772464776294,53.167,1
1772464776347,52.762,1
1772464776401,52.210,1
1772464776454,52.120,1
1772464776507,51.682,1
1772464776559,51.787,1
1772464776611,52.745,1
1772464776668,52.184,1
1772464776721,52.724,1
1772464776774,52.215,1
1772464776826,53.585,1
1772464776880,52.636,1
1772464776933,53.583,1
1772464776987,52.285,1
1772464777040,51.763,1
1772464777092,52.696,1
1772464777145,52.196,1
1772464777198,52.744,1
1772464777250,51.836,1
1772464777303,53.233,1
1772464777357,53.048,1
1772464777410,52.859,1
1772464777464,53.704,1
1772464777518,52.905,1
1772464777571,54.858,1
1772464777627,54.039,1
1772464777682,52.994,1
1772464777736,52.730,1
1772464777789,53.133,1
1772464777843,53.463,1
1772464777897,52.258,1
1772464777949,53.979,1
1772464778004,53.288,1
1772464778058,52.146,1
1772464778111,53.279,1
1772464778164,52.464,1
